scenario,word,pos,translation,example,note,type,options_hint
採購,shipping,n.,運送,The shipping cost is included in the final price.,動詞：ship,,
採購,wholesale,n.,批發,We buy the raw materials at wholesale prices.,反義字：retail,,
採購,specification,n.,規格,Check the order specifications before finalizing the purchase.,動詞：specify,,
商務旅行,itinerary,n.,行程,The agency sent over the detailed travel itinerary.,考點：航班與酒店細節,,
商務旅行,boarding pass,n.,登機證,Please present your boarding pass at the gate.,機場場景核心單字,,
商務旅行,reimburse,v.,報帳/核銷,You will be reimbursed for all business expenses.,名詞：reimbursement,,
商務旅行,accommodation,n.,住宿,The company will pay for your accommodation in London.,動詞：accommodate,,
商務旅行,shuttle,n.,接駁車,The hotel offers a free shuttle bus to the airport.,考點：機場接送,,
商務旅行,delayed,adj.,延誤的,The flight was delayed due to technical issues.,動詞：delay,,
商務旅行,transfer,v./n.,轉機/調職,I have a two-hour layover during my transfer.,考點：轉機、轉換單位,,
商務旅行,departure,n.,出發,The departure time is scheduled for 10 AM.,反義字：arrival,,
商務旅行,destination,n.,目的地,Kyoto is a popular destination for conferences.,考點：旅遊目的地,,
商務旅行,layover,n.,中途停留,He had a five-hour layover in Singapore.,同義字：stopover,,
房地產,lease,n./v.,租約,The office lease is set to expire in December.,考點：租賃契約,,
房地產,landlord,n.,房東,The landlord will renovate the building next year.,反義字：tenant,,
房地產,property,n.,房產/財產,The real estate agent showed us several properties.,同義字：real estate,,
房地產,tenant,n.,房客,The tenant signed a two-year lease for the flat.,對應：rent,,
房地產,renovate,v.,翻新/裝修,The company plans to renovate its main branch.,名詞：renovation,,
房地產,occupancy,n.,佔用/居住,The occupancy rate of the building is 95%.,形容詞：occupied,,
房地產,utility,n.,公共設施/水電,Utilities like water and electricity are included in the rent.,考點：雜費,,
房地產,premises,n.,房屋/經營場所,No smoking is allowed on the premises.,考點：廠區場所,,
房地產,mortgage,n.,抵押貸款,They are paying off a 20-year mortgage.,動詞：抵押,,
房地產,agent,n.,經紀人,The real estate agent helped us find an office.,考點：房地產仲介,,
採購,expedite,v.,加速/催促,We need to expedite the delivery of the lithography parts.,AE 實務：催料常用字,,
採購,requisition,n.,申請單,Please submit a formal requisition for the new laboratory tools.,考點：辦公室流程,,
採購,negotiate,v.,談判,The manager is negotiating the terms of the annual service contract.,名詞：negotiation,,
採購,vendor,n.,供應商,The vendor promised to fix the software bug by Monday.,同義字：supplier,,
採購,bulk,adj.,大宗的/大量的,Bulk orders are eligible for a ten percent discount.,考點：大宗採購優惠,,
製造業,stagnant,adj.,停滯的,The production yield remained stagnant despite the process changes.,反義字：dynamic (動態的),,
製造業,optimization,n.,優化,The goal of Python automation is process optimization.,動詞：optimize,,
製造業,contamination,n.,污染,Strict cleanroom protocols prevent wafer contamination.,動詞：contaminate,,
技術面,redundancy,n.,備援/冗餘,System redundancy ensures the factory keeps running during a power failure.,AE 核心觀念,,
技術面,intermittent,adj.,間歇性的,The intermittent error was difficult to diagnose and fix.,形容詞：斷斷續續的,,
技術面,calibration,n.,校準,Precision calibration is required for all measuring instruments.,動詞：calibrate,,
技術面,compatible,adj.,相容的,The new interface is compatible with existing equipment.,名詞：compatibility,,
一般商務,itinerary,n.,行程,The executive's travel itinerary includes stops in Tokyo and Hsinchu.,考點：出差細節,,
一般商務,monopoly,n.,壟斷,The company holds a monopoly in the high-end sensor market.,考點：市場競爭,,
人事,probation,n.,試用期,He successfully completed his probation and was offered a permanent role.,外商入職常見,,
人事,appraisal,n.,考核,Annual performance appraisals are used to determine bonuses.,考點：KPI 考核,,
人事,relocation,n.,搬遷/派駐,The company offers a relocation package for engineers moving overseas.,動詞：relocate,,
金融/預算,reimbursement,n.,核銷,Travel reimbursement requests must be submitted with receipts.,動詞：reimburse,,
金融/預算,fluctuation,n.,波動,We must monitor the price fluctuations of raw materials.,動詞：fluctuate,,
辦公室,clerical,adj.,文書的,The internship involves various clerical tasks and data entry.,名詞：clerk,,
技術面,deviation,n.,偏差/異常,Any deviation from the standard process must be reported immediately.,AE 實務：製程偏移,,
技術面,integrity,n.,完整性/誠實,Data integrity is crucial for a reliable yield analysis.,考點：數據完整性,,
技術面,facilitate,v.,促進/便利,The new automation tool will facilitate faster troubleshooting.,同義字：help / promote,,
製造業,throughput,n.,生產量,We aim to double the daily throughput by the end of Q4.,考點：量化績效,,
製造業,bottleneck,n.,瓶頸,The etching process has become the major bottleneck in the fab.,常用於效率優化,,
製造業,maintenance,n.,維修/保養,Preventive maintenance is scheduled for every Sunday morning.,動詞：maintain,,
一般商務,compliance,n.,合規/遵守,Our factory operates in full compliance with environmental laws.,動詞：comply with,,
一般商務,monopoly,n.,壟斷,Technological barriers have created a natural monopoly in the industry.,考點：市場競爭,,
一般商務,consensus,n.,共識,The board finally reached a consensus on the new R&D budget.,常用於會議結論,,
一般商務,contingency,n.,應急措施/意外事故,We have a contingency plan in case of a power outage.,考點：備案,,
人事,remuneration,n.,酬勞/薪資,The remuneration package includes a performance-based bonus.,2027 談 Offer 關鍵字,,
人事,mandatory,adj.,強制的/必須的,The safety training is mandatory for all new hires.,反義字：optional,,
人事,probation,n.,試用期,New engineers must complete their probation before getting a raise.,外商入職常見,,
金融/預算,dividend,n.,股利,Investors are happy with the increase in quarterly dividends.,對接一億資產目標,,
金融/預算,allocation,n.,分配/配置,The asset allocation strategy should be reviewed annually.,對應：asset portfolio,,
金融/預算,expenditure,n.,支出/經費,Capital expenditure for the new equipment was approved.,對應：revenue (營收),,
採購,expedite,v.,加速/催促,Could you please expedite the shipment of the spare parts?,AE 實務：催促供應商,,
採購,procurement,n.,採購,The procurement department is evaluating three different vendors.,人：purchaser,,
辦公室,confidential,adj.,機密的,This memorandum contains confidential information about the project.,名詞：confidentiality,,
商務旅行,itinerary,n.,行程,Please double-check the flight numbers in your itinerary.,考點：出差單據,,
技術面,successfully,adv.,成功地,The new lithography tool was ___ installed last week.,AE 實務：描述安裝成功,grammar,"succeed,success,successful,successfully"
技術面,productivity,n.,生產力,The automation project aimed to boost the factory's total ___.,考點：名詞位,grammar,"produce,productive,productivity,productively"
技術面,specification,n.,規格,Please ensure the parts meet the technical ___.,考點：複數名詞,grammar,"specify,specific,specifications,specifically"
製造業,efficiently,adv.,有效率地,The new workflow allows the team to operate more ___.,考點：修飾動詞,grammar,"effect,efficient,efficiency,efficiently"
製造業,inspection,n.,檢查,A thorough ___ of the cooling system is required annually.,考點：句首名詞,grammar,"inspect,inspector,inspection,inspected"
人事,professional,adj.,專業的,We are looking for a candidate with a ___ background in engineering.,2027 轉職必背,grammar,"profession,professional,professionally,professionalism"
人事,applicant,n.,申請人,Each ___ must submit a resume and a list of references.,考點：人物名詞,grammar,"apply,application,applicable,applicant"
金融/預算,profitable,adj.,有利潤的,The company's expansion into the new market proved to be highly ___.,對接一億資產目標,grammar,"profit,profitable,profitably,profitability"
金融/預算,investment,n.,投資,A significant ___ in R&D is necessary for long-term growth.,考點：受詞名詞,grammar,"invest,investor,investment,invested"
一般商務,negotiation,n.,談判,The price ___ lasted for several hours before an agreement was reached.,考點：主詞名詞,grammar,"negotiate,negotiator,negotiation,negotiable"
技術面,abnormal,adj.,異常的,"The technician detected an abnormal vibration in the lithography tool.",AE 實務：描述機台異常,vocab,""
人事,ability,n.,能力,"His technical ability makes him a strong candidate for the AE position.",2027 轉職面試必背,grammar,"able,ability,ably,enable"
一般商務,abruptly,adv.,突然地,"The scheduled maintenance was abruptly cancelled due to a power outage.",形容詞：abrupt,vocab,""
技術面,absolute,adj.,絕對的/完全的,"Absolute precision is required when calibrating the optical sensors.",AE 核心能力：精準度,grammar,"absolute,absolutely,absoluteness,absolve"
一般商務,abundance,n.,豐富/充足,"The Huaya Technology Park offers an abundance of career opportunities.",Huaya Park 背景,grammar,"abound,abundant,abundantly,abundance"
人事,absent,adj.,缺席的,"The manager was absent from the weekly meeting due to a business trip.",名詞：absence,vocab,""
技術面,absorb,v.,吸收/理解,"New engineers must absorb a large amount of technical data quickly.",名詞：absorption,vocab,""
一般商務,absolutely,adv.,絕對地,"The quality of the final product is absolutely critical to our reputation.",形容詞：absolute,vocab,""
一般商務,abundant,adj.,大量的/充足的,"There is abundant evidence that automation improves production yield.",面板廠實務範例,vocab,""
人事,accept,v.,接受,"She decided to accept the job offer from the semiconductor firm.",名詞：acceptance,vocab,""
一般商務,accessible,adj.,可進入的/可使用的,"The database is only accessible to authorized personnel.",名詞：access,grammar,"access,accessible,accessibility,accessibly"
商務旅行,accommodation,n.,住宿,"The company covers all travel and accommodation expenses.",動詞：accommodate,vocab,""
一般商務,accompany,v.,陪同,"A security guard must accompany all visitors inside the cleanroom.",無塵室規範,vocab,""
金融/預算,account,n.,帳戶/說明,"Please update your bank account details for the salary deposit.",對接一億資產目標,vocab,""
金融/預算,accountant,n.,會計師,"The company hired an external accountant to perform the annual audit.",考點：查帳,vocab,""
技術面,accurate,adj.,準確的,"The sensor provides accurate readings of the chamber temperature.",AE 實務：數據準確性,grammar,"accuracy,accurate,accurately,inaccurate"
一般商務,achieve,v.,達成,"We managed to achieve our production targets for the first quarter.",名詞：achievement,vocab,""
一般商務,acknowledge,v.,承認/告知收到,"Please acknowledge receipt of the shipment by signing this form.",多益 Part 6 高頻字,vocab,""
企業發展,acquisition,n.,收購,"The acquisition of the startup will strengthen our R&D capabilities.",常考：M&A,vocab,""
技術面,activate,v.,啟動,"The alarm will activate if the pressure exceeds the safety limit.",名詞：activation,vocab,""
技術面,adjust,v.,調整,"The engineer needs to adjust the laser intensity for better yield.",AE 實務：調機,grammar,"adjust,adjustment,adjustable,adjusted"
一般商務,administration,n.,行政/管理,"The new administration policy aims to reduce paper waste.",形容詞：administrative,vocab,""
一般商務,admire,v.,欽佩/欣賞,"I admire his dedication to the Charlie Munger cultivation plan.",對應你的 Munger 計畫,vocab,""
一般商務,admit,v.,承認/准許進入,"The security system will not admit anyone without a valid ID.",名詞：admission,vocab,""
一般商務,advance,n./v.,進步/前進,"Recent advances in AI have revolutionized the manufacturing process.",形容詞：advanced,vocab,""
一般商務,advantage,n.,優勢,"Our main competitive advantage is our highly efficient supply chain.",反義字：disadvantage,vocab,""
一般商務,advertise,v.,打廣告,"The firm decided to advertise the vacancy on LinkedIn.",名詞：advertisement,vocab,""
一般商務,advice,n.,建議,"He sought professional advice before investing in the ETF.",對應你的投資興趣,grammar,"advise,advice,adviser,advisory"
一般商務,advise,v.,建議/忠告,"The consultant will advise the board on the restructuring plan.",名詞：advice,vocab,""
一般商務,afford,v.,負擔得起,"The company can afford to upgrade all the equipment this year.",形容詞：affordable,vocab,""
